modelo,cv_fbeta_mean,cv_fbeta_std,cv_fit_time_mean,test_recall,test_f1,test_fbeta,test_roc_auc,casos_mora_pred,selection_score
Logistic Regression,0.2572745023572903,0.013948773969949419,0.14783182144165039,0.65,0.14857142857142858,0.2765957446808511,0.6493443839683325,775,0.5431993915314183
XGBoost,0.009316770186335404,0.012422360248447204,0.39049630165100097,0.02,0.0392156862745098,0.024875621890547265,0.51,2,0.3697330405465167
Gradient Boosting,0.05005929819593644,0.021787731650470335,3.2980465412139894,0.07,0.11570247933884298,0.0831353919239905,0.5315363681345868,21,0.3294500235558128
Random Forest,0.018349022168414657,0.01503913188357644,1.9144086837768555,0.03,0.05357142857142857,0.03640776699029126,0.5127733795150916,12,0.3196089998280115
